소스 파일,페이지 번호,추정 문제 번호,추출된 텍스트
2025.pdf,12,29,"29. 정규분포 N
을 따르는 확률변수 와 정규분포 
N
을 따르는 확률변수 가 다음 조건을 만족시킨다.
모든 실수 에 대하여
P≤P≥이고
P≤P≤이다.
P≤≤P≤≤의 
값을 오른쪽 표준정규분포표를 
이용하여 구한 것이 일 때, 
의 값을 구하시오.
(단, 과 는 양수이다.) [4점]"
2025.pdf,12,30,"30. 탁자 위에 개의 동전이 일렬로 놓여 있다. 이 개의 동전 중 
번째 자리와 번째 자리의 동전은 앞면이 보이도록 놓여 있고, 
나머지 자리의 개의 동전은 뒷면이 보이도록 놓여 있다. 
이 개의 동전과 한 개의 주사위를 사용하여 다음 시행을 한다.
주사위를 한 번 던져 나온 눈의 수가 일 때, 
≤이면 번째 자리의 동전을 한 번 뒤집어 제자리에 놓고,
이면 모든 동전을 한 번씩 뒤집어 제자리에 놓는다.
위의 시행을 번 반복한 후 이 개의 동전이 모두 앞면이 
보이도록 놓여 있을 확률은 
이다. 의 값을 구하시오.
(단, 와 는 서로소인 자연수이다.) [4점]

P≤≤








* 확인 사항
◦답안지의 해당란에 필요한 내용을 정확히 기입(표기)했는지 확인
하시오.
◦이어서, ｢선택과목(미적분)｣ 문제가 제시되오니, 자신이 선택한 
과목인지 확인하시오.
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2025.pdf,13,N/A,"홀수형
(미적분)
3
13
20
5지선다형"
2025.pdf,13,23,"23. lim
→
sin

의 값은? [2점]
①
②
③
④
⑤"
2025.pdf,13,24,"24. 



의 값은? [3점]
①ln
②ln
③ln
④ln
⑤ln
2025학년도 대학수학능력시험 문제지
(미적분)
제2 교시
1
홀수형
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2025.pdf,14,N/A,"2
(미적분)
홀수형
14
20"
2025.pdf,14,25,"25. 수열 에 대하여 lim
→∞


일 때, 
lim
→∞

의 값은? [3점]
①

②

③
④
⑤"
2025.pdf,14,26,"26. 그림과 같이 곡선 

ln

과 축 및 두 직선 
, 로 둘러싸인 부분을 밑면으로 하는 입체도형이 
있다. 이 입체도형을 축에 수직인 평면으로 자른 단면이 
모두 정사각형일 때, 이 입체도형의 부피는? [3점]
①ln
②ln
③ln
④ln
⑤ln
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2025.pdf,15,N/A,"홀수형
(미적분)
3
15
20"
2025.pdf,15,27,"27. 최고차항의 계수가 인 삼차함수 에 대하여 함수 를

이라 하자. 곡선  위의 점 에서의 접선이 
축이고 함수 가 역함수 를 가질 때, ′의 값은?
[3점]
①


②


③


④

⑤

"
2025.pdf,15,28,"28. 실수 전체의 집합에서 미분가능한 함수 의 도함수 
′가
′
이다. 양수 에 대하여 곡선  위의 점 에서의 
접선과 곡선  및 축으로 둘러싸인 부분의 넓이를 
라 하자. ′의 값은? [4점]
①


②


③


④


⑤


이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2025.pdf,16,N/A,"4
(미적분)
홀수형
16
20
단답형"
2025.pdf,16,29,"29. 등비수열 이


∞


,  

∞



을 만족시킨다. 부등식
lim
→∞





× 


을 만족시키는 모든 자연수 의 값의 합을 구하시오. [4점]"
2025.pdf,16,30,"30. 두 상수 (≤≤), 에 대하여 함수 
sinsin가 다음 조건을 만족시킨다.
(가) , 
(나) ′′인 양수 의 최솟값은 이다.
함수 가 에서 극대인 의 값 중 열린구간 에 
속하는 모든 값의 집합을 라 하자. 집합 의 원소의 개수를 , 
집합 의 원소 중 가장 작은 값을 이라 하면, 

이다. 의 값을 구하시오. 
(단, 와 는 서로소인 자연수이다.) [4점]
* 확인 사항
◦답안지의 해당란에 필요한 내용을 정확히 기입(표기)했는지 확인
하시오.
◦이어서, ｢선택과목(기하)｣ 문제가 제시되오니, 자신이 선택한 
과목인지 확인하시오.
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
